freq,Awake_DP,Awake_NFd,Sed_DP_11.36,Sed_NF_11.36,Sed_DP_12.15,Sed_NF_12.15,Sed_DP_12.53,Sed_NF_12.53,Sed_DP_13.13,Sed_NF_13.13,Awake_SF,Awake_NFs,Sed_SF_11.43,Sed_NF_11.43,Sed_SF_12.23,Sed_NF_12.23,Sed_SF_13.02,Sed_NF_13.02,Sed_SF_13.39,Sed_NF_13.39,Awake_phase,Sed_phase_11.43,Sed_phase_12.23,Sed_phase_13.02,Sed_phase_13.39
1.04719942,21.55205565,-23.94852699,30.56141192,-12.35174917,31.19470065,-20.93051464,28.60722577,-15.52459711,31.03260749,-19.51112496,16.34972182,-14.09898563,14.47067487,-24.33214966,14.29007117,-43.35452622,14.62750473,-27.5019981,15.03129084,-16.84096797,-0.414887633,-0.412640519,-0.412745518,-0.398422672,-0.387227043
1.054325941,21.56096222,-31.0149313,30.64293485,-12.09534537,31.28771317,-20.26647545,28.68444397,-15.53715404,31.14249617,-17.68050124,16.12056616,-15.22844338,14.17204988,-25.1116018,13.91930225,-37.03487585,14.35597958,-24.53586207,14.75161071,-17.40685149,-0.421759201,-0.421481384,-0.420612007,-0.40859653,-0.395062868
1.061500959,21.5747513,-19.85105094,30.72519602,-12.15342576,31.38189577,-20.4800447,28.75843486,-16.10471969,31.25370283,-16.37548858,15.95178791,-15.95746066,13.67493184,-25.83634763,13.34028922,-33.34558837,13.89619783,-19.7423666,14.26805698,-17.16253225,-0.429122425,-0.430747143,-0.429004125,-0.419180594,-0.40324449
1.068724806,21.5957722,-16.45571075,30.80870446,-12.52671779,31.47641687,-21.72132292,28.82966317,-17.39724227,31.36406309,-15.51408885,15.79051673,-16.31406488,13.10183213,-25.71196024,12.69373285,-31.96682969,13.3390249,-17.32785655,13.68523126,-16.72904731,-0.436446958,-0.440145251,-0.437311574,-0.429328511,-0.411486152
1.075997814,21.62607472,-15.25145289,30.89425463,-13.08195816,31.57082959,-23.86215539,28.89923375,-19.41201552,31.47217668,-14.95195274,15.59914994,-17.50525617,13.08485941,-22.98552251,12.66351412,-35.9335099,13.20501179,-19.44414135,13.58076332,-18.29517974,-0.442051998,-0.448937089,-0.443573323,-0.436838621,-0.419123495
1.083320317,21.68576343,-15.21776849,30.98109071,-13.52792561,31.66347335,-24.79840483,28.9673415,-21.08806157,31.57574826,-14.55482364,15.42541247,-18.29607571,13.6974792,-20.80873488,13.24812862,-35.70121885,13.68561721,-21.70300665,14.09380619,-20.06423913,-0.448162492,-0.458181438,-0.450188546,-0.444965052,-0.427328804
1.090692651,21.80974728,-15.84773381,31.06957818,-13.5490707,31.75449819,-22.15563853,29.03579132,-20.05999035,31.67477731,-14.23503227,15.28935799,-18.37115665,13.90972326,-19.02400738,13.41576938,-31.63707679,13.75121885,-23.25473941,14.1945852,-21.93489281,-0.45482922,-0.467846912,-0.457163044,-0.453738858,-0.436119019
1.098115157,21.93872584,-16.77155924,31.16307371,-13.1039757,31.84776538,-18.99360549,29.10968048,-17.44267949,31.77334437,-13.99092213,15.16609289,-17.68131709,13.73392314,-17.51917345,13.17724791,-28.19896654,13.41537415,-22.73334424,13.89629752,-23.47376861,-0.462104728,-0.477886872,-0.464497732,-0.463180443,-0.445499294
1.105588175,22.06934467,-17.4658818,31.26126305,-12.47537948,31.94408031,-16.70522031,29.19025211,-15.21912226,31.87269417,-13.90421479,14.79185683,-19.06375046,13.25843731,-17.45332346,12.73046079,-30.84433198,12.95871697,-23.1371956,13.39817318,-24.66707603,-0.467679707,-0.486228977,-0.47040124,-0.470352598,-0.452380286
1.113112049,22.19794888,-17.53013867,31.36348191,-11.99575932,32.04415978,-15.24855728,29.27817187,-13.76448383,31.97403039,-14.08998432,14.36076079,-22.56892461,12.40911448,-17.516307,11.95974308,-40.91490157,12.22478493,-24.94270776,12.57491515,-25.8294759,-0.472438088,-0.494213513,-0.475794569,-0.476487373,-0.458210124
